지역명,날짜,풍속,기온,습도,강수량,일조,일사
강릉,20220210,2.4,3.6,50.5,0.0,9.0,14.47
강릉,20220211,2.0,5.9,39.1,0.0,9.5,14.63
강릉,20220212,1.7,6.4,45.6,0.0,6.4,12.08
강릉,20220213,2.0,5.0,69.6,0.0,2.1,7.98
강릉,20220214,2.1,6.2,63.0,0.5,5.0,10.01
강릉,20220215,4.4,-0.5,44.0,0.0,9.9,16.19
강릉,20220216,3.8,-4.6,32.5,0.0,10.0,16.98
강릉,20220217,2.7,-3.9,41.0,0.0,10.0,17.11
강릉,20220218,3.0,2.3,38.4,0.0,9.8,16.77
강릉,20220219,3.0,3.7,30.1,0.0,4.0,9.04
강릉,20220220,3.7,-1.8,29.0,0.0,10.2,17.54
강릉,20220221,3.0,0.2,37.8,0.0,7.0,12.98
강릉,20220222,3.2,-1.2,30.4,0.0,10.3,17.85
강릉,20220223,2.3,-2.5,34.3,0.0,10.3,18.24
강릉,20220224,3.6,1.9,24.5,0.0,10.5,18.83
강릉,20220225,3.8,6.6,37.9,0.0,10.4,17.48
강릉,20220226,4.6,8.9,47.6,0.7,5.7,13.07
강릉,20220227,3.6,7.1,35.3,0.0,10.4,18.48
강릉,20220228,2.3,9.5,38.9,0.0,7.9,14.58
강릉,20220301,2.8,10.0,49.3,0.0,3.9,11.13
강릉,20220302,3.1,7.9,34.9,0.0,10.7,19.29
강릉,20220303,2.2,6.4,48.3,0.0,10.6,18.41
강릉,20220304,3.7,12.6,28.8,0.0,8.3,16.52
강릉,20220305,4.1,6.2,24.6,0.0,10.5,19.62
강릉,20220306,2.6,3.6,32.6,0.0,10.8,20.12
강릉,20220307,2.1,6.2,32.5,0.0,7.6,14.78
강릉,20220308,1.7,7.9,42.4,0.0,8.2,16.36
강릉,20220309,1.6,8.1,56.8,0.0,10.1,17.92
강릉,20220310,2.8,14.0,30.5,0.0,9.9,18.33
강릉,20220311,2.6,16.2,33.3,0.0,5.7,14.55
강릉,20220312,1.7,11.6,64.4,0.0,6.7,15.0
강릉,20220313,1.8,7.2,89.4,4.4,0.0,1.58
강릉,20220314,1.6,9.1,85.3,1.8,0.7,5.29
강릉,20220315,2.3,10.3,66.1,0.0,8.3,18.11
강릉,20220316,1.8,13.1,52.8,0.0,9.4,18.59
강릉,20220317,1.3,6.8,86.3,12.4,0.0,2.75
강릉,20220318,2.0,4.8,86.8,17.6,0.0,2.61
강릉,20220319,1.0,2.1,92.5,36.7,0.0,3.57
강릉,20220320,1.6,5.7,72.0,0.0,5.3,16.02
강릉,20220321,2.0,6.5,64.4,0.0,6.7,15.76
강릉,20220322,2.2,6.3,58.8,0.0,11.1,22.21
강릉,20220323,3.0,7.6,49.6,0.0,2.9,10.59
강릉,20220324,4.1,11.0,54.0,0.0,6.6,16.21
강릉,20220325,1.3,13.6,59.4,4.8,1.6,9.81
강릉,20220326,1.6,10.5,88.3,8.3,0.1,5.04
강릉,20220327,3.1,11.9,43.9,0.0,10.7,21.21
강릉,20220328,2.5,8.4,42.3,0.0,11.8,24.7
강릉,20220329,2.8,13.9,32.8,0.0,11.7,23.96
강릉,20220330,2.0,12.8,58.8,6.7,3.3,13.37
강릉,20220331,1.9,6.6,90.6,10.2,0.0,2.98
강릉,20220401,1.7,6.6,73.8,0.4,4.8,16.87
강릉,20220402,1.9,9.3,58.4,0.0,11.7,23.92
강릉,20220403,2.4,11.1,49.6,0.0,11.9,24.36
강릉,20220404,2.5,14.7,32.8,0.0,11.8,24.54
강릉,20220405,4.1,16.5,20.4,0.0,10.5,22.12
강릉,20220406,2.2,12.7,52.8,0.0,11.0,22.66
강릉,20220407,1.8,13.6,46.0,0.0,9.0,23.05
강릉,20220408,2.1,16.0,40.0,0.0,11.8,25.26
강릉,20220409,5.7,23.3,30.0,0.0,11.4,24.09
강릉,20220410,4.3,25.4,21.9,0.0,11.5,24.25
강릉,20220411,3.1,24.4,35.4,0.0,11.3,25.14
강릉,20220412,3.3,19.7,59.4,0.0,9.6,21.61
강릉,20220413,1.9,8.9,87.8,19.0,0.0,2.38
강릉,20220414,0.9,9.5,77.0,3.1,0.0,4.81
강릉,20220415,1.8,10.2,63.1,0.0,7.6,21.99
강릉,20220416,2.4,14.0,43.1,0.0,12.3,26.67
강릉,20220417,2.3,17.6,24.3,0.0,11.8,26.39
강릉,20220418,2.2,17.3,33.6,0.0,3.9,17.33
강릉,20220419,1.5,16.3,52.0,0.0,12.0,24.55
강릉,20220420,3.3,20.9,24.1,0.0,12.2,26.93
강릉,20220421,3.5,20.0,31.0,0.0,8.7,19.12
강릉,20220422,4.0,21.1,49.0,0.0,8.2,20.86
강릉,20220423,2.2,16.7,60.3,0.0,8.4,20.61
강릉,20220424,3.2,24.1,38.0,0.0,12.0,26.68
강릉,20220425,1.9,22.0,49.9,0.0,6.5,17.14
강릉,20220426,1.9,20.8,71.0,23.5,3.2,14.89
강릉,20220427,2.7,15.0,55.8,0.0,10.7,25.6
강릉,20220428,1.7,13.3,75.8,0.0,0.6,8.47
강릉,20220429,1.9,9.5,88.8,22.8,0.0,6.84
강릉,20220430,1.7,13.1,62.6,0.0,6.6,19.06
강릉,20220501,3.0,14.8,42.5,0.0,9.9,24.75
강릉,20220502,2.1,11.7,60.9,0.9,6.4,17.58
강릉,20220503,3.8,17.6,37.8,0.0,11.7,26.13
강릉,20220504,5.1,23.7,28.5,0.0,12.5,27.93
강릉,20220505,2.8,23.5,33.8,0.0,12.8,28.62
강릉,20220506,2.5,22.9,45.6,0.0,12.4,28.25
강릉,20220507,2.3,14.9,73.9,4.6,1.3,5.3
강릉,20220508,1.3,13.7,66.5,0.0,0.1,10.05
강릉,20220509,2.0,16.7,49.6,0.0,12.9,29.91
강릉,20220510,1.7,15.6,50.1,0.0,9.2,25.07
강릉,20220511,1.5,17.9,64.5,0.0,10.8,26.86
강릉,20220512,2.6,16.9,68.3,0.0,4.4,18.21
강릉,20220513,2.0,13.2,80.0,0.3,0.1,7.05
강릉,20220514,2.4,15.8,49.5,0.0,9.8,21.47
강릉,20220515,2.4,15.9,39.6,0.0,12.7,30.0
강릉,20220516,2.9,19.9,35.1,0.0,11.6,26.85
강릉,20220517,2.8,20.9,41.0,0.0,0.0,0.0
강릉,20220518,3.1,24.0,36.4,0.0,8.3,17.66
강릉,20220519,3.4,23.4,35.3,0.0,6.3,20.83
강릉,20220520,3.1,24.8,31.0,0.0,12.1,27.16
강릉,20220521,2.8,25.3,41.6,0.0,11.7,26.75
강릉,20220522,2.4,21.8,55.0,0.0,7.8,21.02
강릉,20220523,1.2,23.6,59.3,0.0,12.6,27.97
강릉,20220524,2.0,28.0,40.3,0.0,12.3,27.08
강릉,20220525,2.6,26.4,39.9,0.0,10.9,25.39
강릉,20220526,3.3,22.1,40.6,0.0,12.5,30.17
강릉,20220527,2.5,20.6,51.5,0.0,2.9,12.29
강릉,20220528,4.0,26.9,32.6,0.0,12.8,29.94
강릉,20220529,3.4,26.2,34.6,0.0,11.6,28.76
강릉,20220530,1.9,19.0,74.5,0.0,0.3,8.18
강릉,20220531,2.6,23.0,42.9,0.0,12.3,29.7
강릉,20220601,2.5,23.9,33.4,0.0,11.7,27.82
강릉,20220602,2.2,24.8,38.4,0.0,13.0,29.44
강릉,20220603,2.3,19.8,76.8,0.0,0.4,9.79
강릉,20220604,1.8,20.4,75.8,0.0,3.0,16.48
강릉,20220605,2.1,20.4,80.1,8.7,0.4,8.84
강릉,20220606,2.5,16.1,95.0,64.5,0.0,4.54
강릉,20220607,2.0,15.6,82.9,1.7,0.0,7.89
강릉,20220608,1.5,17.4,71.5,0.0,6.5,23.07
강릉,20220609,0.8,17.7,80.6,7.7,1.7,12.14
강릉,20220610,1.1,21.1,77.5,0.0,8.8,23.65
강릉,20220611,1.2,19.5,85.5,0.0,0.2,8.12
강릉,20220612,2.1,19.8,76.6,0.0,5.1,19.7
강릉,20220613,1.9,20.4,77.3,0.0,5.3,21.77
강릉,20220614,1.3,18.1,82.8,4.9,0.0,7.38
강릉,20220615,1.1,16.4,88.3,9.0,0.0,7.01
강릉,20220616,1.9,21.9,70.4,0.0,9.5,23.01
강릉,20220617,2.5,27.5,52.1,0.0,13.0,27.41
강릉,20220618,2.2,28.3,58.3,0.0,11.5,26.07
강릉,20220619,1.9,28.5,59.8,0.0,12.4,27.53
강릉,20220620,1.9,27.9,60.4,0.0,12.6,28.08
강릉,20220621,1.5,25.9,75.4,0.0,12.4,27.32
강릉,20220622,1.3,26.9,74.9,0.0,9.6,24.77
강릉,20220623,1.1,25.3,84.1,21.7,2.0,12.72
강릉,20220624,3.0,27.7,65.8,27.5,7.7,23.58
강릉,20220625,4.5,30.5,48.4,0.0,13.2,29.92
강릉,20220626,2.6,29.2,64.4,4.0,1.1,7.92
강릉,20220627,1.3,28.4,77.6,10.3,0.1,7.75
강릉,20220628,2.1,31.2,56.8,0.0,0.3,10.62
강릉,20220629,2.4,30.6,62.8,0.2,0.6,9.35
강릉,20220630,1.8,25.5,84.5,25.8,0.7,7.97
강릉,20220701,2.1,30.3,63.9,0.0,11.6,29.29
강릉,20220702,1.7,29.3,68.6,0.0,12.0,26.79
강릉,20220703,1.4,30.2,64.6,0.0,11.4,27.36
강릉,20220704,1.6,29.3,68.4,0.0,6.1,18.87
강릉,20220705,1.3,27.7,77.3,0.0,6.1,22.29
강릉,20220706,1.2,26.7,81.5,0.1,0.9,12.61
강릉,20220707,1.2,30.0,73.1,0.0,1.8,15.67
강릉,20220708,2.0,30.8,63.0,0.0,6.8,23.89
강릉,20220709,1.1,28.1,74.3,0.0,4.3,19.99
강릉,20220710,0.9,25.5,87.0,5.5,0.0,7.55
강릉,20220711,1.7,24.5,90.3,32.7,1.8,11.26
강릉,20220712,1.2,23.5,84.0,0.1,0.5,12.8
강릉,20220713,0.8,23.2,90.3,27.0,0.0,5.59
강릉,20220714,1.5,23.2,88.8,2.6,0.0,8.67
강릉,20220715,1.4,23.9,84.5,22.2,6.9,24.34
강릉,20220716,1.6,25.2,79.5,22.6,6.1,20.88
강릉,20220717,1.4,25.2,80.1,0.0,4.6,18.53
강릉,20220718,1.6,26.3,79.3,0.0,4.9,19.24
강릉,20220719,1.4,26.1,77.9,0.0,3.5,16.76
강릉,20220720,1.7,28.7,66.5,0.1,3.0,17.34
강릉,20220721,1.8,22.9,93.5,69.9,0.0,4.65
강릉,20220722,2.0,23.4,87.0,14.8,2.1,15.07
강릉,20220723,1.6,24.4,81.9,12.3,4.4,18.69
강릉,20220724,1.4,26.0,82.0,6.1,7.2,22.21
강릉,20220725,1.4,25.4,82.0,0.0,2.9,16.84
강릉,20220726,1.2,24.7,83.4,0.0,1.3,12.13
강릉,20220727,1.7,25.5,80.3,0.1,3.8,17.87
강릉,20220728,1.6,26.1,83.6,0.0,1.8,13.4
강릉,20220729,1.0,26.7,86.1,0.0,0.0,8.96
강릉,20220730,1.0,27.1,85.1,0.0,0.0,8.22
강릉,20220731,0.7,26.4,91.8,11.8,0.0,4.01
강릉,20220801,1.2,27.4,87.5,1.9,0.2,7.33
강릉,20220802,1.1,28.5,85.4,5.5,2.6,12.45
강릉,20220803,2.6,30.9,65.1,0.6,4.0,13.02
강릉,20220804,1.8,31.1,68.5,2.8,7.7,19.37
강릉,20220805,2.5,33.4,57.8,0.0,10.7,23.24
강릉,20220806,2.1,33.0,61.3,0.0,7.3,20.01
강릉,20220807,2.0,33.0,63.6,0.0,7.5,18.95
강릉,20220808,2.6,29.5,73.9,21.6,0.0,3.76
강릉,20220809,1.7,26.1,87.6,45.8,0.1,5.01
강릉,20220810,1.1,24.2,89.1,61.9,0.1,8.82
강릉,20220811,0.9,25.1,89.1,62.7,0.1,7.25
강릉,20220812,1.3,27.7,73.9,0.0,12.4,25.51
강릉,20220813,0.9,26.3,83.8,0.3,2.5,7.34
강릉,20220814,1.0,27.3,83.5,1.5,1.5,13.49
강릉,20220815,2.1,30.4,67.3,0.1,0.0,6.69
강릉,20220816,2.4,28.7,71.5,0.3,6.2,19.48
강릉,20220817,1.9,24.9,83.3,0.0,0.8,10.91
강릉,20220818,1.6,25.8,76.1,0.0,8.3,20.35
강릉,20220819,2.4,27.7,64.6,0.0,1.4,8.74
강릉,20220820,1.5,25.0,83.1,0.0,0.2,5.16
강릉,20220821,1.6,25.6,74.0,0.0,11.4,25.33
강릉,20220822,1.4,28.2,68.5,0.0,7.1,17.89
강릉,20220823,2.0,25.2,74.0,0.0,0.0,3.79
강릉,20220824,1.2,23.1,80.8,0.0,0.4,8.25
강릉,20220825,1.5,23.7,72.9,0.4,1.4,10.78
강릉,20220826,1.8,25.7,60.8,0.0,10.6,23.97
강릉,20220827,2.7,23.5,54.8,0.0,10.4,25.31
강릉,20220828,2.2,22.2,60.8,0.0,10.9,25.81
강릉,20220829,1.2,21.2,73.9,0.5,0.0,5.73
강릉,20220830,1.0,19.8,90.5,58.9,0.0,3.86
강릉,20220831,1.6,20.6,91.4,42.7,0.7,5.0
강릉,20220901,1.4,23.1,75.6,0.0,8.8,20.28
강릉,20220902,1.7,22.2,78.1,0.0,6.6,20.29
강릉,20220903,1.7,23.0,77.3,0.0,6.4,20.24
강릉,20220904,0.8,22.3,89.1,3.0,0.0,5.58
강릉,20220905,1.7,21.0,92.9,63.4,0.0,2.2
강릉,20220906,3.1,22.0,75.6,99.4,5.8,14.18
강릉,20220907,2.0,24.1,54.1,0.0,11.9,24.78
강릉,20220908,2.3,22.7,65.9,0.0,11.8,23.81
강릉,20220909,1.7,21.8,68.8,0.0,11.5,24.49
강릉,20220910,2.2,21.3,76.1,0.0,4.5,16.95
강릉,20220911,1.6,22.8,80.5,0.0,0.9,11.47
강릉,20220912,1.2,23.0,80.6,0.3,3.4,14.49
강릉,20220913,1.0,23.3,84.5,0.0,0.0,7.32
강릉,20220914,1.9,23.1,82.1,1.6,3.0,14.68
강릉,20220915,1.5,22.9,78.8,0.0,7.8,18.91
강릉,20220916,1.3,24.0,80.0,0.0,6.8,18.74
강릉,20220917,1.1,25.6,83.3,0.0,8.4,21.39
강릉,20220918,1.5,24.3,86.3,6.6,0.0,4.06
강릉,20220919,3.5,20.7,82.5,28.2,0.2,3.99
강릉,20220920,1.7,17.0,72.0,0.0,1.7,6.56
강릉,20220921,2.1,17.2,70.9,0.0,11.2,23.56
강릉,20220922,2.0,19.0,67.9,0.0,9.0,20.12
강릉,20220923,2.8,20.8,55.5,0.0,9.6,20.44
강릉,20220924,2.3,20.2,48.3,0.0,11.1,23.9
강릉,20220925,1.9,19.4,64.9,0.0,1.6,12.01
강릉,20220926,2.0,20.7,63.8,0.0,7.9,19.6
강릉,20220927,1.7,19.9,72.9,0.0,10.2,21.62
강릉,20220928,1.6,19.7,66.5,0.0,3.0,11.71
강릉,20220929,2.1,22.3,60.9,0.0,10.5,21.34
강릉,20220930,2.0,23.9,53.5,0.0,10.9,22.17
강릉,20221001,2.3,24.8,44.0,0.0,9.9,21.29
강릉,20221002,1.6,20.6,75.4,3.1,0.0,4.31
강릉,20221003,1.1,20.5,86.6,0.3,0.1,5.9
강릉,20221004,1.6,17.0,95.4,116.9,0.0,3.41
강릉,20221005,1.0,13.1,95.8,41.0,0.0,2.81
강릉,20221006,1.4,14.0,95.1,30.2,0.0,2.34
강릉,20221007,2.5,13.3,93.0,40.0,0.0,4.26
강릉,20221008,2.0,14.0,78.9,0.0,3.0,11.7
강릉,20221009,1.9,15.5,75.0,0.7,1.7,8.99
강릉,20221010,4.9,12.9,53.0,0.0,10.2,20.66
강릉,20221011,3.1,14.3,54.4,0.0,10.8,20.2
강릉,20221012,2.6,15.4,66.3,0.0,10.5,20.28
강릉,20221013,2.0,16.8,67.6,0.0,10.5,20.43
강릉,20221014,1.2,16.9,74.6,0.0,6.3,16.28
강릉,20221015,1.3,18.6,73.6,0.0,9.4,19.29
강릉,20221016,1.5,18.1,74.8,0.0,0.0,5.15
강릉,20221017,2.8,15.2,58.5,0.0,2.5,9.43
강릉,20221018,2.9,11.4,55.3,0.0,9.4,18.32
강릉,20221019,2.0,11.8,49.0,0.0,10.4,19.82
강릉,20221020,2.1,16.5,38.6,0.0,10.4,20.12
강릉,20221021,3.0,19.1,27.9,0.0,2.7,7.56
강릉,20221022,2.4,19.6,35.4,0.0,9.2,17.37
강릉,20221023,1.6,12.6,85.1,29.6,0.0,2.67
강릉,20221024,2.3,8.5,86.1,19.3,0.0,3.93
강릉,20221025,2.0,9.9,79.6,1.9,0.7,6.32
강릉,20221026,1.9,13.7,59.6,0.0,8.5,17.16
강릉,20221027,2.1,15.8,60.3,0.0,8.9,15.47
강릉,20221028,0.8,13.4,88.9,10.2,0.0,2.17
강릉,20221029,1.5,13.2,83.0,0.0,1.3,8.18
강릉,20221030,1.8,13.2,75.9,0.0,0.5,7.32
강릉,20221031,2.1,14.1,71.5,0.0,7.8,14.39
강릉,20221101,1.8,16.3,58.1,0.0,8.8,14.79
강릉,20221102,1.9,14.5,55.0,0.0,4.9,8.34
강릉,20221103,2.4,13.8,45.1,0.0,0.7,5.53
강릉,20221104,2.6,9.1,41.6,0.0,9.8,16.81
강릉,20221105,2.2,10.4,29.1,0.0,9.8,17.54
강릉,20221106,2.0,11.7,47.6,0.0,9.7,16.49
강릉,20221107,2.1,13.7,43.6,0.0,8.6,12.86
강릉,20221108,1.8,13.9,54.1,0.0,9.5,14.79
강릉,20221109,2.6,16.0,41.4,0.0,8.7,13.91
강릉,20221110,2.3,15.7,58.0,0.0,7.2,11.98
강릉,20221111,1.3,15.6,80.5,3.0,3.3,8.57
강릉,20221112,2.1,19.4,63.9,0.2,8.6,13.8
강릉,20221113,2.2,13.4,87.0,28.7,0.0,0.75
강릉,20221114,2.1,11.5,66.0,0.0,2.6,3.98
강릉,20221115,2.7,11.3,48.0,0.0,8.8,10.85
강릉,20221116,2.1,11.8,49.0,0.0,9.3,10.86
강릉,20221117,1.8,12.2,51.6,0.0,8.8,13.38
강릉,20221118,2.4,13.3,51.6,0.0,9.3,12.78
강릉,20221119,2.1,12.5,67.8,0.0,2.5,4.48
강릉,20221120,1.4,12.9,66.3,0.0,6.9,11.94
강릉,20221121,2.0,14.9,57.4,0.0,3.7,6.4
강릉,20221122,1.6,12.8,67.0,4.2,2.9,3.18
강릉,20221123,1.5,11.7,86.1,19.6,0.9,3.73
강릉,20221124,2.0,11.1,64.4,0.0,6.3,8.63
강릉,20221125,4.2,16.0,36.6,0.0,9.1,10.98
강릉,20221126,3.6,12.9,30.4,0.0,5.7,5.88
강릉,20221127,1.9,9.4,38.8,0.0,8.2,4.75
강릉,20221128,1.0,10.8,66.8,3.4,3.6,3.29
강릉,20221129,2.0,11.5,59.8,3.2,0.0,0.63
강릉,20221130,3.4,0.4,29.1,0.0,8.5,0.0
강릉,20221201,2.9,-1.1,32.9,0.0,8.9,0.0
강릉,20221202,2.6,0.6,35.3,0.0,9.0,0.0
강릉,20221203,3.7,6.3,50.0,0.0,3.6,0.0
강릉,20221204,2.0,2.4,31.3,0.0,1.4,0.0
강릉,20221205,2.3,1.7,29.9,0.0,7.8,0.0
강릉,20221206,2.7,2.7,46.5,0.0,7.3,0.0
강릉,20221207,3.3,6.8,43.4,0.0,8.4,0.0
강릉,20221208,2.5,7.6,35.9,0.0,6.6,0.0
강릉,20221209,2.8,6.9,49.1,0.0,3.5,5.98
강릉,20221210,2.4,5.9,48.6,0.0,3.4,6.51
강릉,20221211,2.6,5.3,55.8,0.0,6.0,8.14
강릉,20221212,2.8,6.4,53.9,0.0,2.8,6.85
강릉,20221213,3.4,3.6,50.5,0.0,4.4,6.35
강릉,20221214,4.0,-4.7,27.8,0.0,9.0,10.63
강릉,20221215,2.5,0.1,53.4,0.0,5.8,7.94
강릉,20221216,2.1,0.5,30.3,0.0,8.6,9.6
강릉,20221217,3.4,-2.9,28.3,0.0,7.7,9.6
강릉,20221218,3.4,-5.8,28.8,0.0,8.9,10.61
강릉,20221219,3.2,-3.0,36.1,0.0,8.9,10.21
강릉,20221220,2.7,1.4,31.9,0.0,7.9,9.95
강릉,20221221,2.7,4.7,53.4,0.0,1.8,5.38
강릉,20221222,4.0,-3.8,41.6,0.0,8.2,9.84
강릉,20221223,5.3,-8.4,42.5,0.0,8.7,10.18
강릉,20221224,3.4,-0.7,46.6,0.0,6.7,8.87
강릉,20221225,3.0,2.1,41.6,0.0,8.4,9.22
강릉,20221226,2.8,1.7,42.8,0.0,8.1,8.46
강릉,20221227,3.2,3.2,35.4,0.0,8.8,10.04
강릉,20221228,3.9,1.5,40.9,0.0,7.7,9.91
강릉,20221229,2.7,0.2,36.5,0.0,8.9,10.16
강릉,20221230,2.9,2.1,43.8,0.0,8.9,10.13
강릉,20221231,4.0,2.4,44.0,0.0,8.7,9.93
강릉,20230101,2.9,4.8,31.6,0.0,8.9,9.85
강릉,20230102,2.6,1.6,25.5,0.0,8.8,10.45
강릉,20230103,3.6,1.3,25.5,0.0,8.9,10.81
강릉,20230104,3.2,2.5,21.9,0.0,9.0,10.54
강릉,20230105,2.4,3.6,32.4,0.0,8.9,10.16
강릉,20230106,2.3,5.5,34.6,0.0,8.4,9.26
강릉,20230107,2.1,4.5,61.0,0.3,6.3,8.17
강릉,20230108,2.9,5.9,38.5,0.0,7.8,9.91
강릉,20230109,2.0,6.9,51.9,0.0,6.8,8.01
강릉,20230110,2.3,6.9,48.0,0.0,9.0,10.55
강릉,20230111,3.6,10.8,21.1,0.0,9.0,10.51
강릉,20230112,2.4,12.7,27.8,0.0,8.9,9.68
강릉,20230113,1.5,9.3,78.1,8.1,0.0,2.02
강릉,20230114,1.8,5.4,94.4,43.4,0.0,0.63
강릉,20230115,1.1,1.4,95.8,26.1,0.0,1.77
강릉,20230116,2.9,0.4,65.9,0.0,8.3,11.16
강릉,20230117,2.7,-0.8,50.1,0.0,1.5,4.78
강릉,20230118,1.9,1.1,49.8,0.0,8.6,11.08
강릉,20230119,2.8,1.7,45.3,0.0,7.4,9.39
강릉,20230120,3.5,1.3,35.0,0.0,8.9,12.1
강릉,20230121,2.9,-0.8,28.6,0.0,9.3,12.43
강릉,20230122,1.7,1.7,45.6,0.0,0.9,5.75
강릉,20230123,1.9,3.8,53.3,0.0,8.4,10.51
강릉,20230124,3.7,-8.4,30.0,0.0,9.4,12.95
강릉,20230125,3.3,-7.2,29.3,0.0,9.4,13.12
강릉,20230126,1.7,-2.4,54.8,0.0,1.3,6.05
강릉,20230127,3.1,-3.3,39.6,0.0,9.5,12.59
강릉,20230128,3.2,-3.5,35.1,0.0,9.5,12.84
강릉,20230129,2.7,0.4,46.6,0.0,6.8,10.69
강릉,20230130,2.1,1.7,37.1,0.0,9.5,13.09
강릉,20230131,3.0,5.8,39.8,0.0,9.0,11.93
강릉,20230201,2.2,5.4,38.4,0.0,8.4,11.15
강릉,20230202,1.8,0.6,50.8,0.0,6.6,9.63
강릉,20230203,2.3,1.4,54.1,0.0,3.7,9.39
강릉,20230204,2.4,3.0,30.3,0.0,9.6,13.36
강릉,20230205,3.1,5.1,35.0,0.0,9.7,13.47
강릉,20230206,1.8,6.8,39.3,0.0,7.4,10.57
강릉,20230207,2.2,4.0,63.5,0.0,0.1,6.73
강릉,20230208,1.9,3.3,67.3,0.0,8.0,11.59
강릉,20230209,1.8,3.6,59.9,0.0,2.9,8.06
강릉,20230210,1.4,3.2,88.4,4.6,0.0,3.28
강릉,20230211,1.8,5.8,64.5,0.0,6.0,10.84
강릉,20230212,2.3,7.7,56.8,1.1,0.9,7.38
강릉,20230213,1.1,4.0,93.6,15.1,0.0,0.86
강릉,20230214,2.3,2.2,78.5,0.4,2.2,7.83
강릉,20230215,1.2,1.4,89.8,15.0,0.4,3.58
강릉,20230216,2.4,4.2,63.6,0.0,8.1,12.92
강릉,20230217,2.4,7.6,47.0,0.0,7.3,12.86
강릉,20230218,1.1,8.8,50.5,0.0,0.0,3.62
강릉,20230219,3.4,8.6,37.0,0.0,9.7,15.15
강릉,20230220,2.7,3.2,35.0,0.0,9.2,15.77
강릉,20230221,2.0,1.2,48.8,0.0,9.9,16.24
강릉,20230222,3.0,6.0,38.4,0.0,10.0,15.59
강릉,20230223,2.6,9.4,37.5,0.0,9.8,14.82
강릉,20230224,2.5,6.7,55.3,0.0,6.4,12.75
강릉,20230225,2.1,2.1,81.9,2.3,0.3,5.71
강릉,20230226,1.9,5.5,45.9,0.0,10.5,17.34
강릉,20230227,3.0,12.2,23.3,0.0,10.6,17.95
강릉,20230228,4.7,12.2,25.9,0.0,6.4,13.42
강릉,20230301,2.9,9.9,43.9,0.0,3.0,8.77
강릉,20230302,2.2,5.1,39.1,0.0,9.9,17.27
강릉,20230303,3.3,10.5,30.8,0.0,10.5,16.95
강릉,20230304,2.0,9.4,52.0,0.0,9.2,15.36
강릉,20230305,1.6,10.4,54.3,0.0,10.1,16.11
강릉,20230306,3.4,15.6,22.4,0.0,10.5,17.81
강릉,20230307,3.7,18.7,32.9,0.0,9.8,16.11
강릉,20230308,4.1,17.9,37.5,0.0,4.6,8.04
강릉,20230309,1.6,10.5,80.1,0.0,4.3,10.49
강릉,20230310,1.4,12.8,75.1,0.0,9.6,16.53
